city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Uberaba,-19.7478,-47.9319,Brazil,BR,Minas Gerais,,337092,337092
Ribeirão das Neves,-19.7669,-44.0869,Brazil,BR,Minas Gerais,,331045,331045
São José dos Pinhais,-25.5350,-49.2058,Brazil,BR,Paraná,,329058,329058
Boa Vista,2.8200,-60.6719,Brazil,BR,Roraima,admin,326419,326419
Caucaia,-3.7328,-38.6558,Brazil,BR,Ceará,,325441,325441
Guarujá,-23.9936,-46.2564,Brazil,BR,São Paulo,,311230,311230
Blumenau,-26.9189,-49.0658,Brazil,BR,Santa Catarina,,309011,309011
Vitória da Conquista,-14.8661,-40.8394,Brazil,BR,Bahia,,308204,236437
Taubaté,-23.0333,-45.5500,Brazil,BR,São Paulo,,302331,302331
Mossoró,-5.1878,-37.3439,Brazil,BR,Rio Grande do Norte,,300618,300618
Paulista,-7.9408,-34.8728,Brazil,BR,Pernambuco,,300466,300466
Praia Grande,-24.0058,-46.4028,Brazil,BR,São Paulo,,299261,299261
Petrópolis,-22.5050,-43.1789,Brazil,BR,Rio de Janeiro,,298142,298142
Limeira,-22.5647,-47.4017,Brazil,BR,São Paulo,,296440,296440
Camaçari,-12.6978,-38.3239,Brazil,BR,Bahia,,286919,286919
Suzano,-23.5428,-46.3108,Brazil,BR,São Paulo,,285280,285280
Santa Maria,-29.6839,-53.8069,Brazil,BR,Rio Grande do Sul,,283677,283677
Marabá,-5.3689,-49.1178,Brazil,BR,Pará,,283542,283542
Governador Valadares,-18.8508,-41.9489,Brazil,BR,Minas Gerais,,278363,278363
Juazeiro do Norte,-7.2128,-39.3150,Brazil,BR,Ceará,,276264,276264
Crato,-7.2342,-39.4094,Brazil,BR,Ceará,,273883,54416
Crato,-7.4639,-63.0400,Brazil,BR,Amazonas,,273883,54416
Palmas,-10.2128,-48.3603,Brazil,BR,Tocantins,admin,272726,272726
Taboão da Serra,-23.6019,-46.7528,Brazil,BR,São Paulo,,272177,272177
Parnamirim,-5.9158,-35.2628,Brazil,BR,Rio Grande do Norte,,267036,267036
Sumaré,-22.8219,-47.2669,Brazil,BR,São Paulo,,265955,265955
Ipatinga,-19.4678,-42.5369,Brazil,BR,Minas Gerais,,265409,265409
Volta Redonda,-22.5231,-44.1042,Brazil,BR,Rio de Janeiro,,262970,262970
Barueri,-23.5111,-46.8764,Brazil,BR,São Paulo,,262275,262275
Imperatriz,-5.5258,-47.4758,Brazil,BR,Maranhão,,259337,259337
Foz do Iguaçu,-25.5400,-54.5875,Brazil,BR,Paraná,,258248,258248
Cascavel,-24.9558,-53.4553,Brazil,BR,Paraná,,257172,201428
Viamão,-30.0808,-51.0228,Brazil,BR,Rio Grande do Sul,,256302,256302
Gravataí,-29.9433,-50.9939,Brazil,BR,Rio Grande do Sul,,255660,255660
